model_id,name,category,origin,implementation,repository_path,deployment,responsibility,canonical_interfaces,authoritative_state,uaf_type,sysml_type
VV-CMP-021,Optimization MCP server,Hosted MCP server,first-party,Rust,servers/optimization-mcp,replicated hosted service,"Builds deterministic planning options, records durable task state, and publishes plan artifacts.","MCP Streamable HTTP; artifact-service internal HTTP; SurrealDB WebSocket",SurrealDB task metadata; artifact plane plan outputs,Software,Block
VV-CMP-022,Perception MCP server,Hosted MCP server,first-party,Rust,servers/perception-mcp,GPU-backed hosted service,"Authorizes recorded sensor data, extracts bounded clips, runs local detection and tracking, and publishes detection and tracking results plus derived RRD annotations.","MCP Streamable HTTP; recording catalog and RRD reads; runner subprocess; artifact-service internal HTTP",SurrealDB analyses and tasks; artifact plane outputs,Software,Block
VV-CMP-023,Recording MCP server,Hosted MCP server,first-party,Rust,servers/recording-mcp,replicated read projection with shared recording volume,"Applies tenant and label authorization to recording discovery, query, sealing, subscriptions, artifact publication, range-capable archive windows, and bounded-history live following.","MCP Streamable HTTP; authorized HTTP RRD byte streams; RRD read-only volume; artifact-service internal HTTP; SurrealDB WebSocket",Recording Hub archive shards and SurrealDB catalog,Software,Block
VV-CMP-024,Timeseries MCP server,Hosted MCP server,first-party,Rust,servers/timeseries-mcp,replicated hosted service,"Runs forecasting as durable work and publishes forecast artifacts and RRD output.","MCP Streamable HTTP; artifact-service internal HTTP; SurrealDB WebSocket",SurrealDB task metadata; artifact and RRD outputs,Software,Block
VV-CMP-025,Datasheet MCP server,Hosted MCP server,first-party,Python,templates/python-mcp,replicated hosted service and canonical Python template,"Demonstrates the Python platform contract through dataset preview, column statistics, task-based profiling, prompts, completions, resources, and notifications.","MCP Streamable HTTP; artifact-service internal HTTP; SurrealDB WebSocket",SurrealDB task metadata; artifact plane reports,Software,Block
VV-CMP-026,Chart MCP packaged service,Hosted MCP server,packaged-third-party,Node.js and flint-chart-mcp,servers/chart-mcp,replicated hosted service,"Packages the pinned chart MCP implementation and exposes chart compilation, validation, rendering, view creation, resources, and prompts through the gateway.",MCP Streamable HTTP,Server-owned chart resources,Software,Block
VV-CMP-027,Rerun viewer MCP child,Hosted MCP server,external,Rerun viewer MCP process,external,child process behind the stdio bridge,"Provides the Rerun viewer's MCP tool surface under the registered rerun server identity.",MCP stdio,Rerun viewer process state,Software,Block
VV-CMP-028,SUMO MCP server,Showcase component,first-party,Rust,showcase/sumo/sumo-mcp,optional showcase service,"Owns serialized TraCI access, exposes traffic reads and actuation, runs durable generation and optimization tasks, and pushes world state to a pod-local Recording forwarder.","MCP Streamable HTTP; TraCI; loopback Rerun gRPC; artifact-service internal HTTP; SurrealDB WebSocket",SUMO live state; SurrealDB tasks; RRD recordings,Software,Block
VV-CMP-029,SUMO simulator and LuST world,Showcase component,packaged-third-party,SUMO 1.27.1,showcase/sumo/sim,optional showcase container,"Runs the pinned LuST traffic scenario and exposes private TraCI control to the SUMO MCP owner.",TraCI TCP,SUMO live simulation state,Software,Block
VV-CMP-030,Python hosted-server SDK,Development component,first-party,Python,sdk/python,installed into Python hosted servers,"Provides Python models and helpers for identity, pagination, internal authentication, telemetry, artifacts, deployment, task runtime, and the final task extension.","Python API; MCP; HTTP; SurrealDB WebSocket",Platform services only,Software,Block
VV-CMP-031,Map data acquisition helper,Internal execution component,first-party,Python,servers/map-mcp/data,subprocess in the Map MCP container,"Normalizes authoritative OSM, GTFS, maritime, aviation, and authority datasets into bounded acquisition products.","JSON subprocess contract; filesystem exchange",Map acquisition scratch and release files,Software,Block
VV-CMP-032,Perception DeepStream runner,Internal execution component,first-party,C++,servers/perception-mcp/deepstream-runner,one subprocess per perception task,"Executes the bounded GStreamer and DeepStream pipeline and returns detections and tracks that match the owning server's contract.","JSON process contract; GStreamer; NVIDIA metadata",No durable authority,Software,Block
VV-CMP-033,MCP conformance client,Verification component,first-party,Rust,testing/mcp-conformance,test and operator process,"Exercises external MCP surfaces and configuration against real or fake services.","MCP Streamable HTTP; HTTP",Test evidence only,Software,Block
VV-CMP-034,Rust smoke harness,Verification component,first-party,Rust,testing/smoke,test and CI process,"Owns multi-process and container lifecycle, readiness, timeouts, cleanup, MCP and HTTP calls, assertions, and deployment contract verification.","Process control; Docker; k3d; Kubernetes and Helm APIs; HTTP; MCP; filesystem evidence",Test evidence only,Software,Block
VV-CMP-035,k3d local development environment,Deployment component,first-party,k3d and Kubernetes YAML,deploy/local/k3d,loopback-only local Kubernetes installation,"Creates a current K3s cluster with mandatory NVIDIA GPU access, imports local images, and applies profile-owned Helm values without selecting a simulator in generic configuration.","k3d; Kubernetes API; containerd; NVIDIA device plugin",Installation configuration,Software,Block
VV-CMP-036,Helm deployment chart,Deployment component,first-party,Helm and Kubernetes YAML,deploy/helm/veoveo,connected or offline Kubernetes installation,"Instantiates the service graph with existing secrets, network policy, persistent storage, optional service-mesh mTLS, and ingress controls.","Kubernetes API; Helm values and schema",Installation configuration,Software,Block
VV-CMP-037,Offline bundle builder and loader,Deployment component,first-party,Shell dispatch plus verified manifests,deploy/offline,connected build host and isolated target host,"Builds and verifies digest-pinned images, configuration schemas, checksums, SPDX SBOMs, and Helm material without requiring target-network access.","OCI image archives; tar; SHA-256; SPDX; filesystem",Bundle manifest and retained verification evidence,Software,Block
VV-CMP-038,SurrealDB platform database,External platform runtime,external,SurrealDB 3.2.1,external,required single RocksDB-backed node,"Provides the sole durable coordination store for identity, control, policy, tasks, artifacts, recordings, agents, audit, and outbox state.","SurrealDB WebSocket and HTTP",Canonical platform coordination state,System,Block
VV-CMP-039,S3-compatible object store,External platform runtime,external,RustFS or installation-owned S3-compatible service,external,required object store,"Stores governed artifact bytes while the Artifact service owns identity and authorization.",S3-compatible HTTPS or private HTTP,Artifact blob bytes,System,Block
VV-CMP-040,Installation edge and ingress,External platform runtime,external,Kubernetes ingress controller,Helm ingress,one installation ingress,"Terminates installation ingress and exposes only console, gateway, public share redemption, and required provider plumbing routes.",HTTPS,Ingress routing and TLS configuration,System,Block
VV-CMP-041,Enterprise identity provider,External enterprise service,external,OIDC provider,external,installation-owned external dependency,"Authenticates users and clients and supplies issuer, JWKS, claims, authorization, and token endpoints to the gateway trust configuration.","OIDC discovery; OAuth 2.0; JWKS HTTPS",Enterprise identity records,System,Block
VV-CMP-042,OpenTelemetry collector and SIEM export,External platform runtime,external,OpenTelemetry Collector 0.156.0 and optional SIEM,configs/otel-collector.yaml,one or more collectors,"Receives logs, traces, metrics, and audit-compatible telemetry and forwards installation-approved signals.","OTLP gRPC and HTTP; SIEM exporter",Telemetry pipeline state,System,Block
VV-CMP-043,Media generation provider,External domain service,external,provider-neutral HTTPS API,external,optional connected dependency,"Accepts media jobs, delivers signed terminal webhooks, and provides output bytes only to the bounded server-side completion path.","Provider HTTPS API; signed webhook HTTPS",Provider job state,System,Block
VV-CMP-044,NVIDIA DeepStream and TensorRT runtime,External execution runtime,external,DeepStream 9 and TensorRT,perception container base image,required for production perception,"Decodes H.264, executes site-approved TensorRT engines, and emits native detection and tracking metadata without starting a Triton service.","GStreamer plugins; CUDA and NVIDIA driver APIs",Mounted model engines and transient GPU state,System,Block
VV-CMP-045,DuckDB and Spatial runtime,External execution runtime,external,DuckDB 1.5.4 and pinned Spatial extension,workspace dependency and server images,embedded and container-local,"Provides arbitrary analytical SQL, spatial functions, bounded owner workspaces, spill, ingest, and export execution.","Embedded DuckDB API; SQL; local files",Owner-scoped analytical workspace files,System,Block
VV-CMP-046,Map processing and routing toolchain,External execution runtime,external,Valhalla 3.8.2 GDAL 3.11.4 and GTFS Validator 8.0.1,servers/map-mcp/Dockerfile,container-local subprocesses,"Builds and serves routing tiles, transforms geospatial data, and validates transit datasets under the Map MCP owner.","Local HTTP and process APIs; files",Map release and routing tile files,System,Block
VV-CMP-047,Rerun data model and transport,External execution runtime,external,Rerun 0.34.1 libraries and proxy protocol,workspace dependencies and recording images,embedded and producer-loopback boundary,"Carries world logs into producer-local forwarders, encodes footer-indexed RRD shards, supports range-oriented reads and live following, and renders recording evidence.","Loopback Rerun gRPC; RRD files; Rust SDK",RRD files where persisted,System,Block
VV-CMP-048,Container execution environment,External platform runtime,external,Kubernetes with an OCI container runtime,external,installation substrate,"Runs isolated service images, networks, volumes, secrets, resource limits, GPUs, and deployment health controls.","Kubernetes API; OCI runtime; container network and storage APIs",Container and orchestration state,System,Block
VV-CMP-049,Time MCP server,Hosted MCP server,first-party,Rust,servers/time-mcp,single persistent temporal authority service,"Resolves civil, military, GNSS, and mission time against versioned authority releases; evaluates calendars and windows; observes clock quality; publishes temporal events; and runs durable timeline work.","MCP Streamable HTTP; administrative HTTP; SurrealDB WebSocket; HTTPS authority acquisition; filesystem releases",SurrealDB temporal catalog and tasks; authority release files,Software,Block
VV-CMP-050,View MCP server,Hosted MCP server,first-party,Rust,servers/view-mcp,GPU-backed hosted renderer,"Maintains owner-scoped camera views over configured 3D Tiles, bounds network and CPU/GPU residency, renders offscreen with NVIDIA Vulkan, and returns frames with attribution and capture metadata.","MCP Streamable HTTP; HTTPS and mounted 3D Tiles; Vulkan; SurrealDB WebSocket",Process-local views and caches; SurrealDB task metadata,Software,Block
VV-CMP-051,Recording forwarder,Core deployable,first-party,Rust,platform/recordings/forwarder,producer host process or Kubernetes native sidecar,"Receives native Rerun traffic on producer loopback, persists a bounded queue, authenticates with OAuth private_key_jwt, resumes from durable checkpoints, and uploads versioned batches through the gateway.","Loopback Rerun gRPC; OAuth discovery and client credentials; authenticated HTTPS protobuf",Producer-local queue files until Hub acknowledgement,Software,Block
VV-CMP-052,MCP Apps extension,Core library,first-party,Rust,mcp/apps-extension,linked into MCP App servers and hosts,"Owns the pinned MCP Apps extension constants, typed UI metadata, application resources, capability declarations, tool links, and sandbox-host message helpers.","Rust API; MCP resources and tool metadata; sandboxed postMessage bridge",No authoritative state,Software,Block
VV-CMP-053,Recording ingest protocol,Core library,first-party,Rust,platform/recordings/protocol,linked into gateway Hub forwarder and tests,"Owns the canonical versioned protobuf schema, media type, routes, limits, digest validation, stream checkpoints, discovery records, and typed recording ingest errors.","Rust API; Protocol Buffers; HTTP media type",No authoritative state,Software,Block
VV-CMP-054,UAV Simulation MCP server,Hosted MCP server,first-party,Rust,servers/uav-sim-mcp,pod-local hosted service beside the UAV simulator,"Governs simulation sessions, missions, vehicles, tiles, recording references, durable tasks, resources, subscriptions, prompts, and typed adapter commands without exposing simulator-native control ports.","MCP Streamable HTTP; private adapter HTTP; SurrealDB WebSocket; artifact-service internal HTTP",SurrealDB task and mission metadata; simulator-owned live state,Software,Block
VV-CMP-055,UAV simulation runtime and adapter,Showcase component,first-party,Python,showcase/uav-sim/runtime,GPU-backed interactive pod or bounded batch Job,"Owns the typed pod-private simulator adapter, Isaac stage mutation, camera and telemetry capture, MAVLink lifecycle, frame conversion, and Rerun publication.","Private HTTP; Python APIs; loopback Rerun gRPC; MAVLink 2; ROS 2",Live simulator state and ephemeral runtime data,Software,Block
VV-CMP-056,UAV simulation execution stack,External execution runtime,external,"Isaac Sim 6.0.1, Cesium for Omniverse 0.29.0, Pegasus 5.1.0, PX4 1.17.0",showcase/uav-sim/dependencies.lock.json,pinned GPU container dependency base,"Renders Google Photorealistic 3D Tiles, supplies multirotor physics and PX4 integration, and executes the simulator-native callbacks governed by the UAV adapter.","Isaac and Omniverse extension APIs; USD; CUDA and Vulkan; MAVLink 2; Cesium ion HTTPS",Streamed tiles GPU state vehicle dynamics and PX4 process state,System,Block
VV-CMP-057,Reason MCP server,Hosted MCP server,first-party,Rust,servers/reason-mcp,GPU-backed hosted reasoning service,"Authorizes recorded video, runs bounded local world-model inference, grounds semantic events in recording time, and publishes governed annotations and reports.","MCP Streamable HTTP; recording read API; bounded runner process; artifact-service internal HTTP; SurrealDB WebSocket",SurrealDB analyses and tasks; artifact plane annotations and reports,Software,Block
VV-CMP-058,Recorded video materialization,Core library,first-party,Rust,platform/recordings/video,linked into recording consumers,"Applies recording authority, resolves frozen or sealed RRD segments, extracts decoder-reentrant keyframe ranges, and remuxes bounded H.264 selections without re-encoding.","Rust API; Recording Hub read plans; RRD video indexes; MP4 bytes",No independent authority; authorized recording segments only,Software,Block
VV-CMP-059,MCP schema macro,Core library,first-party,Rust procedural macro,mcp/schema-macros,linked into Rust MCP servers,"Publishes each typed tool parameter through the canonical client-facing JSON Schema generator while preserving the ordinary rmcp handler contract.","Rust procedural macro; shared MCP contract schema API",No authoritative state,Software,Block
